ERA,WHIP,W,L,SV,SO,BB,HBP,HRA,BF,player,team,IP,target_year,age,data_years
3.09,1.24,1.4,1.2,0.8,19.0,7.3,0.9,2.4,99.2,杉浦　稔大,日本ハム,24.0,2026,34,3
3.01,1.18,7.6,6.3,2.5,142.9,35.4,5.0,13.3,608.1,今永　昇太,DeNA,148.0,2026,32,1
2.88,1.23,2.1,1.5,3.3,30.5,13.5,1.0,2.6,160.1,矢崎　拓也,ヤクルト,38.7,2026,31,3
3.01,1.27,1.6,2.1,0.9,28.5,11.8,1.6,2.3,148.0,ティノコ,西武,35.0,2026,30,1
3.06,1.16,1.4,2.1,0.6,24.2,8.5,1.3,2.4,121.8,池田　隆英,日本ハム,29.6,2026,31,3
3.11,1.2,8.6,7.8,1.1,88.6,22.3,2.5,13.6,593.6,加藤　貴之,日本ハム,146.0,2026,33,3
3.09,1.17,0.8,0.7,0.3,10.9,4.7,0.7,0.9,55.9,根本　悠楓,日本ハム,13.2,2026,23,2
3.18,1.24,1.5,1.3,0.7,21.5,7.6,1.0,2.4,119.6,宋　家豪,楽天,28.9,2026,33,3
3.44,1.28,0.6,0.7,0.3,10.7,4.1,0.5,1.0,55.8,東妻　勇輔,ロッテ,13.2,2026,29,3
2.39,1.04,8.7,5.7,1.1,90.3,34.4,6.4,10.2,517.6,大関　友久,ソフトバンク,128.1,2026,28,3
2.65,1.11,2.0,3.5,11.8,50.2,16.7,1.7,3.5,216.5,栗林　良吏,広島,53.2,2026,29,3
2.99,1.19,1.4,1.1,0.6,20.4,8.4,0.9,1.9,105.9,岩下　大輝,ロッテ,25.5,2026,29,2
3.07,1.19,4.1,5.2,0.9,55.6,19.8,3.3,5.3,315.6,大貫　晋一,DeNA,76.4,2026,32,3
2.98,1.15,10.1,7.5,1.5,120.5,40.4,5.3,12.2,628.6,上沢　直之,ソフトバンク,154.2,2026,32,2
2.96,1.19,1.0,1.4,0.7,16.8,8.0,0.6,1.9,96.5,青山　美夏人,西武,23.0,2026,25,3
3.61,1.28,1.2,2.7,1.1,29.1,9.0,1.2,2.6,149.8,清水　昇,ヤクルト,35.2,2026,29,3
2.98,1.26,2.7,2.4,1.0,33.9,15.3,1.5,2.2,185.5,酒居　知史,楽天,44.6,2026,33,2
3.26,1.27,1.4,2.5,0.6,26.9,12.0,2.4,2.1,150.0,ボー・タカハシ,西武,35.3,2026,29,3
2.95,1.28,0.9,1.2,0.5,16.4,7.7,0.8,1.2,91.3,漆原　大晟,阪神,21.7,2026,29,3
3.03,1.28,1.1,1.1,0.6,17.8,7.7,1.0,1.5,93.2,佐々木　千隼,DeNA,22.1,2026,31,3
2.69,1.16,8.1,10.0,1.1,100.7,36.5,5.1,7.9,602.6,森下　暢仁,広島,146.9,2026,28,3
3.11,1.2,3.4,4.3,2.9,53.1,20.6,2.7,5.6,258.3,小澤　怜史,ヤクルト,62.2,2026,28,3
3.05,1.24,4.6,4.4,1.8,64.6,27.3,3.1,5.6,346.9,板東　湧梧,ソフトバンク,83.0,2026,30,1
3.01,1.24,2.7,2.5,1.1,37.1,14.8,3.0,3.1,200.5,安樂　智大,楽天,47.3,2026,29,1
3.73,1.39,6.7,7.2,1.1,76.0,27.5,3.6,10.4,516.7,岸　孝之,楽天,123.3,2026,41,3
3.23,1.23,6.2,6.3,1.0,79.4,27.4,2.1,8.4,434.2,田嶋　大樹,オリックス,103.8,2026,29,3
2.47,1.18,3.1,2.2,1.8,46.7,19.0,1.5,2.4,219.2,清水　達也,中日,52.8,2026,26,3
2.93,1.2,0.7,0.6,0.3,9.2,3.3,0.4,0.9,48.1,北浦　竜次,日本ハム,11.5,2026,26,2
3.25,1.21,3.6,4.1,1.2,58.9,17.2,2.5,4.6,307.4,カスティーヨ,オリックス,74.9,2026,37,2
3.33,1.27,0.8,0.8,0.4,12.9,5.5,0.7,1.2,67.4,フェリス,中日,16.0,2026,32,2
3.05,1.25,1.2,1.5,0.7,20.6,8.3,1.1,1.7,108.0,メネズ,日本ハム,25.7,2026,30,1
3.18,1.28,0.3,0.3,0.2,4.3,1.6,0.2,0.4,21.8,鍵谷　陽平,日本ハム,5.2,2026,35,2
3.61,1.31,1.2,1.4,0.5,21.9,8.7,1.7,2.0,107.8,坂本　光士郎,ロッテ,25.3,2026,31,3
3.2,1.25,5.6,5.3,2.0,76.4,26.9,4.3,7.4,418.1,ピーターズ,ヤクルト,100.7,2026,33,1
3.05,1.18,2.1,3.5,3.5,40.4,12.3,1.4,3.8,187.4,伊勢　大夢,DeNA,45.4,2026,28,3
